County	FIPS	AdjacentFIPS
Autauga County, AL	01001	01021,01047,01051,01085,01101
"Baldwin County, AL"	01003	01025,01053,01097,01099,01129,12033
"Barbour County, AL"	01005	01011,01045,01067,01109,01113,13061,13239,13259
"Bibb County, AL"	01007	01021,01065,01073,01105,01117,01125
"Blount County, AL"	01009	01043,01055,01073,01095,01115,01127
"Bullock County, AL"	01011	01005,01087,01101,01109,01113
"Butler County, AL"	01013	01035,01039,01041,01085,01099,01131
"Calhoun County, AL"	01015	01019,01029,01055,01115,01121
"Chambers County, AL"	01017	01081,01111,01123,13145,13285
"Cherokee County, AL"	01019	01015,01029,01049,01055,13055,13115,13233
"Chilton County, AL"	01021	01001,01007,01037,01047,01051,01105,01117
"Choctaw County, AL"	01023	01025,01091,01119,01129,28023,28075,28153
"Clarke County, AL"	01025	01003,01023,01091,01099,01129,01131
"Clay County, AL"	01027	01029,01037,01111,01121,01123
"Cleburne County, AL"	01029	01015,01019,01027,01111,01121,13045,13143,13233
"Coffee County, AL"	01031	01039,01041,01045,01061,01109
"Colbert County, AL"	01033	01059,01077,01079,28141
"Conecuh County, AL"	01035	01013,01039,01053,01099
"Coosa County, AL"	01037	01021,01027,01051,01117,01121,01123
"Covington County, AL"	01039	01013,01031,01035,01041,01053,01061,12091,12131
"Crenshaw County, AL"	01041	01013,01031,01039,01085,01101,01109
"Cullman County, AL"	01043	01009,01079,01095,01103,01127,01133
"Dale County, AL"	01045	01005,01031,01061,01067,01069,01109
"Dallas County, AL"	01047	01001,01021,01085,01091,01105,01131
"DeKalb County, AL"	01049	01019,01055,01071,01095,13055,13083,13295
"Elmore County, AL"	01051	01001,01021,01037,01087,01101,01123
"Escambia County, AL"	01053	01003,01035,01039,01099,12033,12091,12113
"Etowah County, AL"	01055	01009,01015,01019,01049,01095,01115
"Fayette County, AL"	01057	01075,01093,01107,01125,01127
"Franklin County, AL"	01059	01033,01079,01093,01133,28057,28141
"Geneva County, AL"	01061	01031,01039,01045,01069,12059,12063,12131
"Greene County, AL"	01063	01065,01091,01107,01119,01125
"Hale County, AL"	01065	01007,01063,01091,01105,01125
"Henry County, AL"	01067	01005,01045,01069,13061,13099
"Houston County, AL"	01069	01045,01061,01067,12063,13099,13253
"Jackson County, AL"	01071	01049,01089,01095,13083,47051,47115
"Jefferson County, AL"	01073	01007,01009,01115,01117,01125,01127
"Lamar County, AL"	01075	01057,01093,01107,28087,28095
"Lauderdale County, AL"	01077	01033,01079,01083,28141,47055,47071,47099,47181
"Lawrence County, AL"	01079	01033,01043,01059,01077,01083,01103,01133
"Lee County, AL"	01081	01017,01087,01113,01123,13145,13215
"Limestone County, AL"	01083	01077,01079,01089,01103,47055,47103
"Lowndes County, AL"	01085	01001,01013,01041,01047,01101,01131
"Macon County, AL"	01087	01011,01051,01081,01101,01113,01123
"Madison County, AL"	01089	01071,01083,01095,01103,47051,47103
"Marengo County, AL"	01091	01023,01025,01047,01063,01065,01105,01119,01131
"Marion County, AL"	01093	01057,01059,01075,01127,01133,28057,28095
"Marshall County, AL"	01095	01009,01043,01049,01055,01071,01089,01103
"Mobile County, AL"	01097	01003,01129,28039,28041,28059
"Monroe County, AL"	01099	01003,01013,01025,01035,01053,01131
"Montgomery County, AL"	01101	01001,01011,01041,01051,01085,01087,01109
"Morgan County, AL"	01103	01043,01079,01083,01089,01095
"Perry County, AL"	01105	01007,01021,01047,01065,01091
"Pickens County, AL"	01107	01057,01063,01075,01119,01125,28087,28103
"Pike County, AL"	01109	01005,01011,01031,01041,01045,01101
"Randolph County, AL"	01111	01017,01027,01029,01123,13045,13149,13285
"Russell County, AL"	01113	01005,01011,01081,01087,13053,13215,13259
"St. Clair County, AL"	01115	01009,01015,01055,01073,01117,01121
"Shelby County, AL"	01117	01007,01021,01037,01073,01115,01121
"Sumter County, AL"	01119	01023,01063,01091,01107,28069,28075,28103
"Talladega County, AL"	01121	01015,01027,01029,01037,01115,01117
"Tallapoosa County, AL"	01123	01017,01027,01037,01051,01081,01087,01111
"Tuscaloosa County, AL"	01125	01007,01057,01063,01065,01073,01107,01127
"Walker County, AL"	01127	01009,01043,01057,01073,01093,01125,01133
"Washington County, AL"	01129	01003,01023,01025,01097,28041,28153
"Wilcox County, AL"	01131	01013,01025,01047,01085,01091,01099
"Winston County, AL"	01133	01043,01059,01079,01093,01127
"Aleutians East Borough, AK"	02013	02016,02164
"Aleutians West Census Area, AK"	02016	02013
"Anchorage Municipality, AK"	02020	02122,02170,02261
"Bethel Census Area, AK"	02050	02070,02122,02164,02170,02270,02290
"Bristol Bay Borough, AK"	02060	02070,02164
"Denali Borough, AK"	02068	02090,02170,02240,02290
"Dillingham Census Area, AK"	02070	02050,02060,02164
"Fairbanks North Star Borough, AK"	02090	02068,02240,02290
"Haines Borough, AK"	02100	02105,02110,02230
"Hoonah-Angoon Census Area, AK"	02105	02100,02110,02195,02220,02282
"Juneau City and Borough, AK"	02110	02100,02105
"Kenai Peninsula Borough, AK"	02122	02020,02050,02150,02164,02170,02261
"Ketchikan Gateway Borough, AK"	02130	02198,02275
"Kodiak Island Borough, AK"	02150	02122,02164
"Lake and Peninsula Borough, AK"	02164	02013,02050,02060,02070,02122,02150
"Matanuska-Susitna Borough, AK"	02170	02020,02050,02068,02122,02240,02261,02290
"Nome Census Area, AK"	02180	02188,02270,02290
"North Slope Borough, AK"	02185	02188,02290
"Northwest Arctic Borough, AK"	02188	02180,02185,02290
"Petersburg Census Area, AK"	02195	02105,02198,02220,02275
"Prince of Wales-Hyder Census Area, AK"	02198	02130,02195,02275
"Sitka City and Borough, AK"	02220	02105,02195
"Skagway Municipality, AK"	02230	02100
"Southeast Fairbanks Census Area, AK"	02240	02068,02090,02170,02261,02290
"Valdez-Cordova Census Area, AK"	02261	02020,02122,02170,02240,02282
"Wade Hampton Census Area, AK"	02270	02050,02180,02290
